,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/253611052_310513224243878_4249509911548835213_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=RH9W1zeUZnkAX9aoy9N&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBNx5k1BBhxkxXNF3JA2iTFNxqaQYhXZwXtNrW1_xH2Cw&oe=65617924&_nc_sid=bc0c2c,We just pulled off our biggest trash heist yet. Guess you can call us Ocean’s 13…Million. 💰 💰 #TeamSeas,['teamseas'],9528,135,,2021-11-06 16:15:42,GraphImage
1,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/255162207_593200811954948_1116389749361301365_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=f3UnJvu-VW4AX8Qmpd0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDuezYJAT5PkW6vUGVpYoDzlYjj7Pmpq9FP_1_n2HRTEQ&oe=65627490&_nc_sid=bc0c2c,"Fourteeeeeeen million. We repeat, fourteeeeeen million. THIS MAKES NO CENTS, or does it…#TeamSeas",['teamseas'],8867,103,,2021-11-10 18:02:02,GraphImage
2,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/269913276_5084085334937852_7136624674642708717_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=K3vuX7_Jn5QAX9jsrN3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDQYs7o2p268PqJmCxEvVdE5SzNgtFwqKM33XKd80p8xA&oe=65622313&_nc_sid=bc0c2c,✋Virtual high-five✋! #9MToGo #TeamSeas,"['9mtogo', 'teamseas']",8555,94,,2021-12-24 21:57:21,GraphImage
3,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/261749702_1295465194288714_7708447909169597927_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=RHhki05Xq78AX-wxL4p&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA8iH_sTr-fR286kxENMHcH17bMXsdK-MmY_9RjYgAbbg&oe=6562BFD9&_nc_sid=bc0c2c,17M strong. #TeamSeas,['teamseas'],8442,96,,2021-11-29 23:11:00,GraphImage
4,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/251228382_1036337126938453_3484298171650972404_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=--JcF492qB4AX8kIDEv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBuZ5qAnXfLtvSNpSxhp0zlxAgyfci5K4oS7X7XyknJwQ&oe=6562995F&_nc_sid=bc0c2c,Whale would you look at that? Anotha' one (million that is). #TeamSeas,['teamseas'],8439,93,,2021-11-03 02:41:09,GraphImage
5,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/266001680_447554123664064_5844037855473959611_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=QsVwkEvPSxsAX9zqJtw&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAeFPjbxFHAkIr-AQPVkcrmuilx68-lOFBq4DRXPSG0Dg&oe=6561EBEC&_nc_sid=bc0c2c,Ready to seas the day? Only 12M to go! #TeamSeas,['teamseas'],8214,87,,2021-12-12 16:20:59,GraphImage
6,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/312996175_2921269951514126_7784775387046859684_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=tmH1XsTkfisAX-GeaR5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAVF4Rv5aIoTZ0IA3zqtag4nRnZSFa3WyWVUZ9Tx4XeCg&oe=6562DE26&_nc_sid=bc0c2c,"⬆️ US REALIZING WHAT TODAY IS 🤠🎉 It’s a VERY special day friends: @TeamSeas is celebrating its 1st birthday! 🎉  A lot can happen in a year, and are absolutely blown away by the incredible commitment to our ocean demonstrated by the #TeamSeas community around the world the past 365 days. To date, Ocean Conservancy has removed more than 11 MILLION pounds of trash from our ocean and coastlines. And we're still going strong!⁣
⁣
Join the party and keep the movement going with these 3 easy steps to celebrate @TeamSeas' birthday with us!⁣
⁣
1. JOIN A CLEANUP! 🏖⁣
Hit the link in @OceanConservancy's bio to find out how you can join a cleanup near you (or even start your own)!⁣
⁣
2. DOWNLOAD CLEAN SWELL 📲⁣
The Clean Swell app will help you track the trash you collect during cleanups, and will help scientists and advocates around the world tackle ocean trash at a global scale.⁣
⁣
3. Text ""OCEAN"" to 52551 🌊⁣
Join @OceanConservancy's mobile list to stay up-to-date on all the latest ways to advocate for our ocean! ⁣
⁣
📸 = @thephilwaller",['teamseas'],8236,24,The Ocean,2022-10-29 15:57:55,GraphSidecar
7,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/257742253_920952918795501_8487948589532460703_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=JM0_V5i6FoMAX-0OCp_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAEhp_LptWpBpSE2jkETzeN48iNq0SmGUQQPVOVVmxKAQ&oe=6562A61C&_nc_sid=bc0c2c,Sweet Sixteen! #TeamSeas,['teamseas'],7972,92,,2021-11-17 23:37:11,GraphImage
8,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/251904558_402147454742877_7577060910300451194_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=prRs3kic3j8AX8OVGYh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDteHeBWyDrP1mrb5YMk_gCK5ERhsNmfjalonsZYa97Gg&oe=656192C8&_nc_sid=bc0c2c,"You say, “act normal” but how are we supposed to do that, when you keep doing this. #TeamSeas teamseas.org",['teamseas'],7362,93,,2021-11-03 15:55:34,GraphImage
9,teamseas,91545,35,True,False,N/A,142,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/251109695_105056048597870_3828262017947449830_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=54RP3ID7yJwAX-H8Am3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDYxWNYoV0iWTf5DlNKBjuQh2oThO1PHmNw4wW2Gw5ymw&oe=6562449B&_nc_sid=bc0c2c,"Just keep donating, just keep donating. 🐠 🐠 #TeamSeas",['teamseas'],7349,96,,2021-10-31 02:45:07,GraphImage
